,price,area,bedrooms,bathrooms,stories,mainroad
0,13300000,7420,4,2,3,1
1,12250000,8960,4,4,4,1
2,12250000,9960,3,2,2,1
3,12215000,7500,4,2,2,1
4,11410000,7420,4,1,2,1
5,10850000,7500,3,3,1,1
6,10150000,8580,4,3,4,1
7,10150000,16200,5,3,2,1
8,9870000,8100,4,1,2,1
9,9800000,5750,3,2,4,1
10,9800000,13200,3,1,2,1
11,9681000,6000,4,3,2,1
12,9310000,6550,4,2,2,1
13,9240000,3500,4,2,2,1
14,9240000,7800,3,2,2,1
15,9100000,6000,4,1,2,1
16,9100000,6600,4,2,2,1
17,8960000,8500,3,2,4,1
18,8890000,4600,3,2,2,1
19,8855000,6420,3,2,2,1
20,8750000,4320,3,1,2,1
21,8680000,7155,3,2,1,1
22,8645000,8050,3,1,1,1
23,8645000,4560,3,2,2,1
24,8575000,8800,3,2,2,1
25,8540000,6540,4,2,2,1
26,8463000,6000,3,2,4,1
27,8400000,8875,3,1,1,1
28,8400000,7950,5,2,2,1
29,8400000,5500,4,2,2,1
30,8400000,7475,3,2,4,1
31,8400000,7000,3,1,4,1
32,8295000,4880,4,2,2,1
33,8190000,5960,3,3,2,1
34,8120000,6840,5,1,2,1
35,8080940,7000,3,2,4,1
36,8043000,7482,3,2,3,1
37,7980000,9000,4,2,4,1
38,7962500,6000,3,1,4,1
39,7910000,6000,4,2,4,1
40,7875000,6550,3,1,2,1
41,7840000,6360,3,2,4,1
42,7700000,6480,3,2,4,1
43,7700000,6000,4,2,4,1
44,7560000,6000,4,2,4,1
45,7560000,6000,3,2,3,1
46,7525000,6000,3,2,4,1
47,7490000,6600,3,1,4,1
48,7455000,4300,3,2,2,1
49,7420000,7440,3,2,1,1
50,7420000,7440,3,2,4,1
51,7420000,6325,3,1,4,1
52,7350000,6000,4,2,4,1
53,7350000,5150,3,2,4,1
54,7350000,6000,3,2,2,1
55,7350000,6000,3,1,2,1
56,7343000,11440,4,1,2,1
57,7245000,9000,4,2,4,1
58,7210000,7680,4,2,4,1
59,7210000,6000,3,2,4,1
60,7140000,6000,3,2,2,1
61,7070000,8880,2,1,1,1
62,7070000,6240,4,2,2,1
63,7035000,6360,4,2,3,1
64,7000000,11175,3,1,1,1
65,6930000,8880,3,2,2,1
66,6930000,13200,2,1,1,1
67,6895000,7700,3,2,1,1
68,6860000,6000,3,1,1,1
69,6790000,12090,4,2,2,1
70,6790000,4000,3,2,2,1
71,6755000,6000,4,2,4,1
72,6720000,5020,3,1,4,1
73,6685000,6600,2,2,4,1
74,6650000,4040,3,1,2,1
75,6650000,4260,4,2,2,1
76,6650000,6420,3,2,3,1
77,6650000,6500,3,2,3,1
78,6650000,5700,3,1,1,1
79,6650000,6000,3,2,3,1
80,6629000,6000,3,1,2,1
81,6615000,4000,3,2,2,1
82,6615000,10500,3,2,1,1
83,6580000,6000,3,2,4,1
84,6510000,3760,3,1,2,1
85,6510000,8250,3,2,3,1
86,6510000,6670,3,1,3,1
87,6475000,3960,3,1,1,1
88,6475000,7410,3,1,1,1
89,6440000,8580,5,3,2,1
90,6440000,5000,3,1,2,1
91,6419000,6750,2,1,1,1
92,6405000,4800,3,2,4,1
93,6300000,7200,3,2,1,1
94,6300000,6000,4,2,4,1
95,6300000,4100,3,2,3,1
96,6300000,9000,3,1,1,1
97,6300000,6400,3,1,1,1
98,6293000,6600,3,2,3,1
99,6265000,6000,4,1,3,1
100,6230000,6600,3,2,1,1
101,6230000,5500,3,1,3,1
102,6195000,5500,3,2,4,1
103,6195000,6350,3,2,3,1
104,6195000,5500,3,2,1,1
105,6160000,4500,3,1,4,1
106,6160000,5450,4,2,1,1
107,6125000,6420,3,1,3,1
108,6107500,3240,4,1,3,1
109,6090000,6615,4,2,2,1
110,6090000,6600,3,1,1,1
111,6090000,8372,3,1,3,1
112,6083000,4300,6,2,2,1
113,6083000,9620,3,1,1,1
114,6020000,6800,2,1,1,1
115,6020000,8000,3,1,1,1
116,6020000,6900,3,2,1,1
117,5950000,3700,4,1,2,1
118,5950000,6420,3,1,1,1
119,5950000,7020,3,1,1,1
120,5950000,6540,3,1,1,1
121,5950000,7231,3,1,2,1
122,5950000,6254,4,2,1,1
123,5950000,7320,4,2,2,1
124,5950000,6525,3,2,4,1
125,5943000,15600,3,1,1,1
126,5880000,7160,3,1,1,1
127,5880000,6500,3,2,3,1
128,5873000,5500,3,1,3,1
129,5873000,11460,3,1,3,1
130,5866000,4800,3,1,1,1
131,5810000,5828,4,1,4,1
132,5810000,5200,3,1,3,1
133,5810000,4800,3,1,3,1
134,5803000,7000,3,1,1,1
135,5775000,6000,3,2,4,1
136,5740000,5400,4,2,2,1
137,5740000,4640,4,1,2,1
138,5740000,5000,3,1,3,1
139,5740000,6360,3,1,1,1
140,5740000,5800,3,2,4,1
141,5652500,6660,4,2,2,1
142,5600000,10500,4,2,2,1
143,5600000,4800,5,2,3,0
144,5600000,4700,4,1,2,1
145,5600000,5000,3,1,4,1
146,5600000,10500,2,1,1,1
147,5600000,5500,3,2,2,1
148,5600000,6360,3,1,3,1
149,5600000,6600,4,2,1,1
150,5600000,5136,3,1,2,1
151,5565000,4400,4,1,2,1
152,5565000,5400,5,1,2,1
153,5530000,3300,3,3,2,1
154,5530000,3650,3,2,2,1
155,5530000,6100,3,2,1,1
156,5523000,6900,3,1,1,1
157,5495000,2817,4,2,2,0
